loan_status,loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age,emp_cat,ir_cat
0,5000,10.65,B,10,RENT,24000,33,0-15,11-Aug
0,2400,NA,C,25,RENT,12252,31,15-30,Missing
0,10000,13.49,C,13,RENT,49200,24,0-15,11-13.5
0,5000,NA,A,3,RENT,36000,39,0-15,Missing
0,3000,NA,E,9,RENT,48000,24,0-15,Missing
0,12000,12.69,B,11,OWN,75000,28,0-15,11-13.5
1,9000,13.49,C,0,RENT,30000,22,0-15,11-13.5
0,3000,9.91,B,3,RENT,15000,22,0-15,11-Aug
1,10000,10.65,B,3,RENT,1.00E+05,28,0-15,11-Aug
0,1000,16.29,D,0,RENT,28000,22,0-15,13.5+
0,10000,NA,C,4,RENT,42000,23,0-15,Missing
0,3600,6.03,A,13,MORTGAGE,110000,27,0-15,0-8
0,6000,NA,B,1,MORTGAGE,84000,30,0-15,Missing
0,9200,6.03,A,6,RENT,77385.19,24,0-15,0-8
1,21000,12.42,B,17,RENT,105000,29,15-30,11-13.5
0,10000,11.71,B,13,OWN,50000,23,0-15,11-13.5
0,10000,11.71,B,5,RENT,50000,22,0-15,11-13.5
1,6000,11.71,B,1,RENT,76000,31,0-15,11-13.5
0,15000,9.91,B,2,MORTGAGE,92000,23,0-15,11-Aug
1,15000,14.27,C,9,RENT,60000,30,0-15,13.5+
0,4000,11.71,B,19,MORTGAGE,106000,27,15-30,11-13.5
0,8500,11.71,B,0,RENT,25000,24,0-15,11-13.5
0,4375,7.51,A,7,MORTGAGE,17108,38,0-15,0-8
0,31825,7.9,A,5,MORTGAGE,75000,23,0-15,0-8
0,5000,8.9,A,2,RENT,24044,22,0-15,11-Aug
0,7000,15.96,C,7,RENT,34000,27,0-15,13.5+
0,12400,10.65,B,18,RENT,41000,36,15-30,11-Aug
0,10800,9.91,B,2,RENT,55596,35,0-15,11-Aug
0,15000,7.9,A,1,RENT,45000,23,0-15,0-8
0,6000,12.42,B,1,RENT,36852,25,0-15,11-13.5
0,9600,7.51,A,4,RENT,68004,22,0-15,0-8
0,12000,7.9,A,15,RENT,62300,25,0-15,0-8
0,3000,18.25,D,9,MORTGAGE,65000,26,0-15,13.5+
0,4400,16.77,D,17,RENT,55000,24,15-30,13.5+
0,6000,6.03,A,17,MORTGAGE,45600,21,15-30,0-8
0,14000,NA,B,6,RENT,80000,26,0-15,Missing
1,5000,8.9,A,17,MORTGAGE,1.00E+05,27,15-30,11-Aug
0,10000,10.65,B,6,RENT,27000,23,0-15,11-Aug
0,10000,NA,A,11,RENT,60000,37,0-15,Missing
0,11000,6.62,A,5,RENT,70000,26,0-15,0-8
1,15000,9.91,B,8,MORTGAGE,80000,26,0-15,11-Aug
0,25600,NA,B,9,RENT,110000,29,0-15,Missing
0,7000,10.65,B,0,RENT,40000,22,0-15,11-Aug
1,12000,15.96,C,4,RENT,50000,29,0-15,13.5+
0,12000,9.91,B,1,RENT,46000,38,0-15,11-Aug
0,10000,12.42,B,0,OWN,39000,33,0-15,11-13.5
0,10000,10.65,B,2,RENT,51400,23,0-15,11-Aug
0,7100,16.77,D,1,MORTGAGE,33000,29,0-15,13.5+
0,8000,NA,D,0,RENT,62000,29,0-15,Missing
0,3500,10.65,B,7,MORTGAGE,55000,33,0-15,11-Aug
0,16425,14.27,C,4,RENT,44544,27,0-15,13.5+
0,15000,14.65,C,2,OWN,61000,25,0-15,13.5+
1,6400,16.77,D,5,RENT,75000,35,0-15,13.5+
0,3000,13.49,C,1,RENT,33600,27,0-15,11-13.5
0,12000,16.77,D,3,RENT,50000,25,0-15,13.5+
0,14400,8.9,A,0,OWN,150000,25,0-15,11-Aug
0,12000,14.65,C,18,RENT,90000,28,15-30,13.5+
0,11000,13.49,C,23,MORTGAGE,48000,26,15-30,11-13.5
0,15000,NA,A,1,MORTGAGE,52000,37,0-15,Missing
0,10000,14.27,C,2,RENT,68000,29,0-15,13.5+
0,11800,12.69,B,6,RENT,42000,23,0-15,11-13.5
0,4500,6.03,A,4,RENT,53000,40,0-15,0-8
0,7000,12.69,B,12,RENT,35000,24,0-15,11-13.5
0,9200,12.42,B,2,RENT,60000,27,0-15,11-13.5
0,12000,16.29,D,9,RENT,88365,28,0-15,13.5+
0,12000,13.49,C,4,RENT,72000,28,0-15,11-13.5
0,12000,10.65,B,0,RENT,62000,28,0-15,11-Aug
0,7000,10.65,B,3,MORTGAGE,43680,27,0-15,11-Aug
0,10500,12.69,B,11,RENT,66000,31,0-15,11-13.5
0,7000,11.71,B,4,OWN,39120,23,0-15,11-13.5
0,3500,6.03,A,11,MORTGAGE,83000,27,0-15,0-8
1,6200,9.91,B,2,RENT,25000,36,0-15,11-Aug
0,6000,8.9,A,8,OWN,28800,26,0-15,11-Aug
0,7200,9.91,B,6,RENT,135000,25,0-15,11-Aug
0,9500,8.9,A,7,MORTGAGE,50000,27,0-15,11-Aug
0,24000,10.65,B,15,RENT,45000,40,0-15,11-Aug
0,6000,NA,C,30,RENT,80000,32,15-30,Missing
0,6000,13.49,C,5,RENT,50000,29,0-15,11-13.5
0,2100,12.42,B,21,MORTGAGE,30000,48,15-30,11-13.5
0,5500,6.62,A,8,MORTGAGE,110000,25,0-15,0-8
0,11000,6.62,A,8,OWN,45608,26,0-15,0-8
0,8000,12.69,B,5,MORTGAGE,35000,35,0-15,11-13.5
1,10000,18.25,D,1,RENT,75000,24,0-15,13.5+
0,8000,11.71,B,9,MORTGAGE,35000,24,0-15,11-13.5
0,10000,8.9,A,6,RENT,24000,33,0-15,11-Aug
0,12000,11.71,B,2,MORTGAGE,126000,28,0-15,11-13.5
0,10000,7.9,A,1,RENT,43000,37,0-15,0-8
0,12000,NA,B,1,RENT,50000,26,0-15,Missing
1,19750,10.65,B,4,RENT,45000,42,0-15,11-Aug
0,10000,9.91,B,3,RENT,31200,25,0-15,11-Aug
0,13650,12.42,B,4,RENT,66000,45,0-15,11-13.5
0,18000,NA,A,12,RENT,56964,29,0-15,Missing
0,2500,14.27,C,7,RENT,49500,22,0-15,13.5+
0,35000,8.9,A,6,MORTGAGE,125000,23,0-15,11-Aug
0,10000,7.51,A,3,RENT,33000,25,0-15,0-8
0,7000,12.69,B,0,RENT,30000,23,0-15,11-13.5
1,24000,15.96,C,8,MORTGAGE,90000,24,0-15,13.5+
0,10625,7.51,A,5,MORTGAGE,23000,22,0-15,0-8
0,5000,14.65,C,2,RENT,24000,37,0-15,13.5+
0,8850,6.62,A,17,RENT,62000,24,15-30,0-8
0,6375,NA,A,4,RENT,44000,25,0-15,Missing
0,6000,11.71,B,1,RENT,90000,27,0-15,11-13.5
1,11100,6.62,A,30,RENT,41000,38,15-30,0-8
0,6200,6.03,A,5,MORTGAGE,26500,44,0-15,0-8
0,15000,18.64,E,1,RENT,54000,26,0-15,13.5+
0,4200,11.71,B,2,RENT,53000,35,0-15,11-13.5
0,14000,14.27,C,4,RENT,52800,23,0-15,13.5+
0,8875,7.51,A,1,MORTGAGE,38000,26,0-15,0-8
0,13500,9.91,B,7,RENT,38000,21,0-15,11-Aug
1,12000,9.91,B,2,RENT,42000,24,0-15,11-Aug
0,6000,10.65,B,6,MORTGAGE,87000,24,0-15,11-Aug
1,10000,11.71,B,8,RENT,60000,46,0-15,11-13.5
0,12000,16.29,D,5,MORTGAGE,80000,26,0-15,13.5+
0,7200,12.42,B,5,RENT,48000,22,0-15,11-13.5
1,5600,14.65,C,1,MORTGAGE,85000,24,0-15,13.5+
0,12000,NA,C,0,RENT,57000,23,0-15,Missing
0,8500,6.03,A,2,RENT,25000,23,0-15,0-8
0,8000,9.91,B,2,RENT,34000,22,0-15,11-Aug
0,8000,12.42,B,14,RENT,40000,25,0-15,11-13.5
0,15000,17.27,D,2,MORTGAGE,44400,23,0-15,13.5+
0,10000,9.91,B,2,OWN,30000,32,0-15,11-Aug
0,10000,6.62,A,5,MORTGAGE,70000,23,0-15,0-8
0,8000,14.65,C,3,RENT,28000,25,0-15,13.5+
0,22000,9.91,B,2,MORTGAGE,50000,22,0-15,11-Aug
0,6000,14.27,C,14,MORTGAGE,94800,23,0-15,13.5+
1,2500,7.51,A,NA,OWN,12000,21,Missing,0-8
0,13500,9.91,B,2,MORTGAGE,36000,30,0-15,11-Aug
0,25000,12.42,B,2,RENT,225000,30,0-15,11-13.5
0,10000,NA,C,2,RENT,45900,65,0-15,Missing
0,2500,13.49,C,4,RENT,27200,26,0-15,11-13.5
0,7325,12.69,B,1,RENT,42000,23,0-15,11-13.5
0,4000,12.42,B,5,RENT,135000,28,0-15,11-13.5
1,10000,13.49,C,5,RENT,65000,35,0-15,11-13.5
1,7750,17.27,D,0,RENT,24000,24,0-15,13.5+
0,9600,12.42,B,11,RENT,65000,30,0-15,11-13.5
0,14000,10.65,B,3,RENT,30000,21,0-15,11-Aug
0,13350,12.42,B,19,RENT,43000,31,15-30,11-13.5
1,15000,16.77,D,17,RENT,42000,27,15-30,13.5+
1,15000,NA,D,8,RENT,75000,50,0-15,Missing
0,35000,10.65,B,2,MORTGAGE,168000,25,0-15,11-Aug
0,9000,NA,B,9,MORTGAGE,74000,22,0-15,Missing
1,16000,12.69,B,1,RENT,58500,22,0-15,11-13.5
0,13500,12.69,B,5,RENT,71000,26,0-15,11-13.5
0,24000,12.69,B,13,RENT,75000,22,0-15,11-13.5
0,12000,10.65,B,5,RENT,60000,26,0-15,11-Aug
0,14000,6.62,A,31,RENT,66000,26,30-45,0-8
1,12000,NA,C,8,MORTGAGE,70000,33,0-15,Missing
0,25000,11.71,B,12,MORTGAGE,1.00E+05,23,0-15,11-13.5
0,9000,12.69,B,5,RENT,50000,25,0-15,11-13.5
0,13250,10.65,B,4,RENT,35000,28,0-15,11-Aug
0,20000,13.49,C,6,RENT,75000,28,0-15,11-13.5
0,3000,14.65,C,5,RENT,71000,22,0-15,13.5+
0,7350,10.65,B,16,MORTGAGE,48000,21,15-30,11-Aug
0,11500,15.27,C,5,RENT,36000,30,0-15,13.5+
1,13650,12.42,B,16,MORTGAGE,86000,32,15-30,11-13.5
1,10500,16.29,D,3,RENT,30000,25,0-15,13.5+
0,12000,9.91,B,2,RENT,60000,28,0-15,11-Aug
0,6000,8.9,A,3,RENT,34000,27,0-15,11-Aug
0,11500,15.27,C,25,MORTGAGE,44200,27,15-30,13.5+
0,7000,12.42,B,7,MORTGAGE,82000,26,0-15,11-13.5
0,2000,15.27,C,2,RENT,41000,27,0-15,13.5+
0,11625,13.49,C,0,MORTGAGE,36000,22,0-15,11-13.5
1,15075,NA,C,14,RENT,35000,31,0-15,Missing
0,5300,15.27,C,1,RENT,30000,25,0-15,13.5+
0,8200,6.62,A,0,RENT,40000,26,0-15,0-8
0,12000,NA,B,9,MORTGAGE,105000,25,0-15,Missing
0,8650,14.27,C,4,MORTGAGE,45000,23,0-15,13.5+
0,12000,12.42,B,2,RENT,83000,31,0-15,11-13.5
1,9500,12.69,B,0,MORTGAGE,52500,22,0-15,11-13.5
0,7400,NA,C,0,OWN,25000,26,0-15,Missing
0,14400,13.49,C,19,MORTGAGE,60000,28,15-30,11-13.5
1,7200,7.9,A,3,RENT,68000,23,0-15,0-8
0,4000,7.51,A,0,RENT,65000,24,0-15,0-8
0,1500,17.27,D,11,MORTGAGE,144000,24,0-15,13.5+
0,19600,12.42,B,2,RENT,75000,22,0-15,11-13.5
0,2500,11.71,B,7,MORTGAGE,29000,54,0-15,11-13.5
1,10000,12.69,B,2,RENT,70000,22,0-15,11-13.5
0,10000,6.62,A,5,RENT,45000,21,0-15,0-8
0,4225,12.42,B,5,MORTGAGE,55200,25,0-15,11-13.5
0,3500,7.9,A,7,MORTGAGE,61440,35,0-15,0-8
0,12000,NA,A,27,MORTGAGE,56000,24,15-30,Missing
0,16500,NA,A,0,RENT,47000,26,0-15,Missing
0,12000,NA,C,1,RENT,71000,29,0-15,Missing
0,10800,NA,B,8,RENT,135000,28,0-15,Missing
0,14000,12.42,B,12,MORTGAGE,63000,25,0-15,11-13.5
0,6000,13.49,C,5,MORTGAGE,50000,35,0-15,11-13.5
0,12000,9.91,B,5,RENT,80000,24,0-15,11-Aug
0,10000,12.42,B,4,RENT,45000,29,0-15,11-13.5
0,8000,7.9,A,2,RENT,78000,31,0-15,0-8
